created_at,cleaned_tweet
2022-09-19 08:54:33+00:00,gk kok kak cuman lucu ajah
2022-08-14 12:31:18+00:00,pengetahuan umum
2022-08-14 12:30:22+00:00,ingusan kak kedinginan
2022-08-14 09:47:33+00:00,waduh wisata lendir ini
2022-08-13 14:18:46+00:00,gk janji
2022-08-13 14:13:59+00:00,karena ada orang iri
2022-08-13 14:11:27+00:00,saia bukan anak malang juga kak
2022-08-13 14:10:43+00:00,waduh banh tu orang jauh jauh diajakin jalan malah gak jadi cuman jadi wacana
2022-08-13 13:36:33+00:00,pantat pegal bahn
2022-08-13 13:29:28+00:00,malang dong kak
2022-08-13 03:53:50+00:00,alah jadi wacana ja kena ni gawi kd dpt sertif iso dan sni
2022-06-20 17:47:41+00:00,perdana menteri lah
2022-06-01 10:47:22+00:00,yang sering kena ceramah tu kah
2022-06-01 08:06:09+00:00,siapa banh
2022-04-22 18:52:52+00:00,ilang anjer
2022-04-06 10:22:03+00:00,isi fyp kok berubah jadi rekomendasi makanan dan masak masak semua hmmm
2022-03-28 17:40:08+00:00,dari mana enaknya
2022-03-16 11:32:15+00:00,yang penting nonton enjoyer
2022-03-14 14:01:19+00:00,ahok
2022-03-05 07:05:20+00:00,loh saya kan ugm
2022-02-25 15:59:29+00:00,banyak sub varian
2022-02-15 14:06:16+00:00,mulai
2022-02-13 09:36:32+00:00,saia sering nyicil juga kamu juga gak penta sih bahn
2022-02-13 07:16:16+00:00,usaha bahn kan udah ngeliat penta lagi bukti usaha kemaren
2022-02-13 03:32:55+00:00,badak dan ikan membuat lupa lirik aslinya
2022-02-11 01:29:49+00:00,akhir akhir ini kurang curhat cerianya
2022-02-11 00:49:07+00:00,apa nich
2022-02-06 03:42:25+00:00,dont you know pump it up youve got to pump it up dont you know pump it up youve got to pump it up dont you know pump it up youve got to pump it up dont you know pump it up youve got to pump it up
2022-02-03 14:30:46+00:00,hobi baru akhir akhir ini mantengin comment facebook kemenkes
2022-01-04 01:34:44+00:00,habis digibahin kawalnya paling
2022-01-03 02:05:12+00:00,ajaih itu
2021-12-25 05:15:39+00:00,lupa dimana intinya itu
2021-12-25 01:35:24+00:00,ini yang dibuang ke sungai
2021-12-21 18:30:42+00:00,aduh apaan ini
2021-12-19 01:54:41+00:00,ngeri main zuma
2021-12-14 03:09:59+00:00,no inpo
2021-12-11 19:39:41+00:00,yang itu
2021-12-11 04:42:47+00:00,cewe gampang cari duit
2021-12-09 21:33:33+00:00,positif aja emang sengaja mancing keributan
2021-12-08 11:58:56+00:00,waduh apaan nih
2021-12-02 02:29:05+00:00,gak bisa udah kena mental duluan saia liatnya
2021-11-30 06:13:32+00:00,series cintaku tersangkut dengan orang seberang juga rewatch
2021-11-29 11:30:57+00:00,bukannya anti tapi belum pernah nyoba aja
2021-11-28 13:26:32+00:00,tni ketar ketir
2021-11-26 02:19:24+00:00,adi menyiapkan sesi khusus untuk hahahihi
2021-11-25 12:56:00+00:00,rela nemenin sampe subuh
2021-11-22 13:01:05+00:00,waduh kok kek kenal
2021-11-11 14:09:33+00:00,kangen kotanya atau orangnya nih
2021-11-06 10:16:44+00:00,hilih
2021-11-06 07:35:29+00:00,aku bukan tipe kamu soalnya hp ku begini
2021-11-02 10:04:57+00:00,perdana menteri kita nih
2021-10-29 03:54:46+00:00,cowboy bawa bunga
2021-10-25 11:03:42+00:00,waduh gak bagus juga ya nanti tiap hari selalu memandang seberang
2021-10-25 10:50:27+00:00,kok dilarang kan lucu suka menghibur nanti yang mau menghibur siapa dong
2021-10-25 05:58:44+00:00,pengen sayur tapi takut jalan sempit gu
2021-10-23 11:08:16+00:00,waduh urusan pemain besar kak takut
2021-10-22 13:11:41+00:00,makanya harus cepat diselesaikan
2021-10-17 03:30:17+00:00,ajarin biar gak terjebak masa lalu
2021-10-10 10:45:24+00:00,bener juga sekalian komentarin lebih asik deh keknya
2021-10-10 10:42:58+00:00,kita nonton aja dari jauh
2021-10-09 12:17:08+00:00,gagal keren jadinya
2021-10-06 10:08:59+00:00,gak kelasnya saia tinggal mandi
2021-09-29 17:40:10+00:00,ujian kesabaran oleh indihum
2021-09-29 09:08:19+00:00,mengwkwkwk
2021-09-26 02:11:22+00:00,temen woody
2021-09-25 17:33:29+00:00,kena serang buzz light year berarti nih akunnya
2021-09-25 14:45:47+00:00,belom liat dah ilang
2021-09-21 01:40:45+00:00,pagiku cerah sarapanku rto
2021-09-19 15:58:39+00:00,kena mental wkwkw
2021-09-19 14:42:49+00:00,fp kok pada tutup comment
2021-09-17 09:30:12+00:00,dari hati terdalam ada teknanan kesenangan karena lepas dari penjara xixixi
2021-09-14 18:22:36+00:00,badut gak boleh sedih tiap hari harus lucu
2021-09-13 12:43:22+00:00,tugas buat video tema kemimpinan dipikiran terlintas pakde
2021-09-13 10:19:57+00:00,covid juga bisa karena kerumunan vaksin
2021-09-09 09:42:26+00:00,minta ajarin sama keminfo
2021-09-05 15:42:21+00:00,udah di carry padahal
2021-09-05 15:40:30+00:00,sebagai manusia kan harus jujur
2021-09-05 10:58:26+00:00,maaf kak saia gak punya tapi adanya yang begini
2021-09-04 17:40:41+00:00,mengwkwkw
2021-09-01 17:22:05+00:00,berapa lapis
2021-09-01 16:16:10+00:00,tukang kayu aja bisa jadi ri 1 perawat harus bisa juga
2021-09-01 13:39:04+00:00,halo pak pulici ini ada yang perlu di kasih pembinaan karena membandingkan saia tolong di proses pake uu ite
2021-09-01 08:02:00+00:00,rolenya sesuai
2021-08-30 16:59:47+00:00,gerakan non blok
2021-08-29 16:42:55+00:00,teman km
2021-08-26 13:43:07+00:00,kena mental
2021-08-25 19:01:46+00:00,di ajak main ke keraton
2021-08-24 12:52:09+00:00,uhuk
2021-08-24 09:44:49+00:00,awas di gruduk
2021-08-24 09:44:24+00:00,mas tentara
2021-08-22 10:24:32+00:00,balsem mau muntah
2021-08-18 16:20:16+00:00,spain
2021-08-18 16:20:09+00:00,upload 200gb lalu akunnya kesuspend
2021-08-18 02:29:57+00:00,ini ada yang minta alamat mau menghibur katanya
2021-08-17 05:18:23+00:00,menunggu pembina memberikan amanat
2021-08-16 08:51:43+00:00,bantalnya marah nih
2021-08-15 05:52:57+00:00,langsung teringat mas ini lagi
2021-08-12 06:01:16+00:00,jelek bagus ini
2021-08-11 16:26:34+00:00,skip sibuk
2021-08-11 16:26:17+00:00,kaos aja lebih fungsional kalau dah jelek bisa jadi keset
2021-08-11 16:25:25+00:00,sedang becermin
2021-08-10 12:17:36+00:00,lebih lucu permohonan bapak juliari
2021-08-10 12:16:20+00:00,begini kan
2021-08-10 12:14:55+00:00,tapi tempat kami indihomenya normal
2021-08-10 12:14:18+00:00,gak perlu tukang mebel aja bisa jadi presiden
2021-08-10 10:29:42+00:00,tolong ya kalian ini sesama manusia gak boleh menghujat kita lihat dari sisi bapaknya punya tanggungan keluarga bapak ini memohon dengan sungguh sungguh manusia cuman bisa memohon alakah baiknya permohonan bapak ini kita dengar iya didengar doang jangan dikabulkan
2021-08-09 13:42:58+00:00,sekarang pelawak kurang laku soalnya pejabat pemerintah lebih lucu
2021-08-09 01:20:39+00:00,untung gak ada kata kata pemakaian cewe
2021-08-07 14:36:17+00:00,marah nih
2021-08-07 13:46:50+00:00,nanti ada tanggal cantik
2021-08-07 13:45:55+00:00,buzz light year ayo maju
2021-08-04 10:37:06+00:00,sepertinya salah satu buzz light year
2021-08-04 09:33:12+00:00,jangan lupa baca lengkap ya karena korupsinya sebelum covid jadi jangan nuntun hukuman mati tapi tetap cocok kok hukuman mati
2021-08-03 13:37:48+00:00,positif vibes harus selalu dibangun
2021-08-03 13:35:00+00:00,selalu ingat kata ibu nasinya harus habis nanti nasinya nangis jadi jangan menyisakan sesuatu jangan sampe mubazir
2021-08-03 12:09:16+00:00,jangan negatif trus kalian ini mungkin itu angsul an dari bansos
2021-08-02 13:54:39+00:00,hanya sebuah ilustrasi orang kaget
2021-08-02 12:08:55+00:00,reaksi saat baca berita
2021-08-01 09:01:58+00:00,disaat undangan di gelar di situ tempat makan terbuka lebar
2021-07-30 13:36:35+00:00,mengwkwkwk
2021-07-23 08:56:58+00:00,dari 6 tinggal 0
2021-07-16 10:59:41+00:00,kalo yang sembako yang dikasih kelebihan kan bisa dijual
2021-07-16 10:04:28+00:00,supaya perut selalu terisi dan meningkatkan imunitas
2021-07-16 10:03:39+00:00,pake rasa cina lebih manteb
2021-07-16 10:03:14+00:00,wah kalo yang ini 100 efikasi pasti manteb melawan pandemi
2021-07-16 06:29:26+00:00,maunya pake pfizer ato moderna
2021-07-16 06:28:50+00:00,sembakonya kurang makanya gak mempan
2021-07-16 06:28:15+00:00,micinpun masih kurang menambahkan rasa
2021-07-15 02:37:42+00:00,pahit tidak gayn tapi rasa dominan cuman asin dan manis
2021-07-14 13:06:10+00:00,makan mie dan nasi goreng dengan rasa alakadarnya dan tidak ada baunya adalah sebuah kehampaan
2021-07-03 10:00:18+00:00,untung aku beban juga jadi gak gitu
2021-07-02 18:35:52+00:00,masih setengah jalan
2021-06-28 17:21:58+00:00,harusnya begini
2021-06-28 12:09:19+00:00,stres semua
2021-06-27 07:14:25+00:00,wah mentalnya kurang nih pake takut diserbu
2021-06-26 03:11:30+00:00,sini ku ajarin pake yang sering ngekill
2021-06-25 13:32:42+00:00,makanan hari hari
2021-06-25 11:39:29+00:00,boleh diatur
2021-06-16 15:13:16+00:00,bulannya manteb
2021-06-14 14:14:56+00:00,gagal chicken dinner
2021-06-14 01:34:28+00:00,hahahihi hahahihi tiba tiba tanggal 14
2021-06-04 14:26:22+00:00,kan lumayan jadi bahan percobaan
2021-05-26 12:39:38+00:00,jangan gitu dong udah bersiap dari kemaren ternyata begini
2021-05-26 11:22:02+00:00,dulu gerhana matahari total juga hujan
2021-05-26 11:17:49+00:00,mendung
2021-05-25 18:30:16+00:00,wadoh ngeri juga itu
2021-05-25 17:43:18+00:00,pengen bisa lucid dream
2021-05-25 02:47:17+00:00,tiap hari mimpi random trus
2021-05-22 15:44:54+00:00,apakah ini yang tadi di mas pur
2021-05-14 14:51:45+00:00,menunggu dengan sabar yakan
2021-05-13 01:12:09+00:00,selamat hari raya
2021-05-12 23:36:46+00:00,disuruh di rumah
2021-05-09 15:26:58+00:00,kembali ke awal
2021-05-02 04:10:43+00:00,ngamer dan ngudud biar keren
2021-04-30 19:30:16+00:00,menyesal salah download
2021-04-30 05:23:38+00:00,akhirnya bisa nonton dengan tenang
2021-04-24 16:47:31+00:00,esok kita buka sesi curhat dikala maen
2021-04-24 16:24:32+00:00,setitik debu yang menyebalkan
2021-04-24 15:45:13+00:00,pantesan semangat pubg
2021-04-20 18:51:19+00:00,sudah bayar tapi terisolir menghadeh
2021-04-15 07:06:33+00:00,dari dia untuk dia kepada dia
2021-04-15 05:48:46+00:00,semakin ke sini semakin pasrah
2021-04-15 05:47:46+00:00,bisa langsung terdengar
2021-04-14 12:54:34+00:00,mengebut
2021-04-09 07:54:41+00:00,bisa di dengar
2021-04-08 08:55:30+00:00,pubgnya setengah setegah seh
2021-03-25 18:20:12+00:00,beli tws niatnya buat hp eh malah kebanyakan kepake buat laptop
2021-03-20 16:23:48+00:00,hukum kebebasan bandar
2021-03-18 03:55:24+00:00,indihome hadir meramaikan
2021-03-15 15:57:37+00:00,kawin ja pikiran
2021-03-13 11:35:41+00:00,wah sebulan lagi
2021-03-06 07:07:19+00:00,manga snk terbaru berkeliaran hmm
2021-03-04 15:41:36+00:00,waduh tempat bertani pada ilang
